Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw
0.0337601,0,43,90,747076,213200,107147,10013,4072,118664,2478,825715,71|-41|-116|-135|-107|-45|55|185|257|219|117|2|-87|-131|-123|-78|17|149|244|246|170|55
0.0666656,0,43,90,747076,213200,107147,10013,4072,118664,2478,825715,-52|-118
0.100777,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-120|-66|34|156|273|310|250|136|10|-72|-91|-54|38|153|240|260|214|121|19|-67|-116|-109|-41|74|189|252|230|138
0.13488,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,22|-75|-130|-123|-62|39|166|252|262|198|97|0|-74|-116|-89|5|124|219|259|220|123
0.168243,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,16|-68|-101
0.20311,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-72|1|109|218|277|258|169|42|-70|-109|-69|2|85|167|233|241|169|40|-90|-170|-173|-117|-9|113|196|216|169|77|-19|-86|-113|-88
0.236427,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-3|124|234|269|231|139|36|-53
0.270988,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-99|-71|3|108|218|288|263|164|42|-51|-93|-89|-43|55|180|272
0.304581,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,268|186|89|2|-54|-59|-6|77|181|256|263|212|131|37|-58|-123|-106|-19|112|221|263|227|133|34
0.338509,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-39|-81|-75|-18|90|213|289|276|193|82|-26|-102|-107|-55|41|165|265|281|211|103|-4|-90|-124|-90
0.372246,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-1|117|217|240|165
0.406693,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,54|-34|-85|-91|-68|-4|98|209|292|292|189|39|-82|-125|-87|-4|107|224|283
0.440765,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,260|171|70|-5|-57|-87|-78|-6|122|230|246|177|70|-28|-104|-132|-113|-40|68|166|210|178|84|-18
0.473885,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-89|-118|-93|-23|81|183|243|235|163|52|-39|-91|-97|-42|56|172
0.507767,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,241|247|197|102|6|-67|-104|-84
0.541512,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,6|137|245|281|234|120|-6|-89|-120|-103|-37|76|198|252|217|114|3|-75|-130|-140|-82|50|182|251
0.575623,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,243|167|61|-51|-133|-156|-104|23|179|279|276|214|157|103|35|-8|-18|20|92|156|186|173|121|49
0.609413,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-20|-49|-12|50|107|150|163|134
0.643524,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,84|12|-46|-59|-20|38|90|117|122|105|64|2|-56|-81|-68|-36
0.67804,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,12|73|130|152|136|84|16|-26|-24|5|43|72|99|133|140|101|32|-26|-43|-26|-6|26|81|125|136|108|53|2|-8
0.71138,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,19|69|112
0.745422,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,150|182|182|144|73|1|-41|-33|11|58|103|150|157|117|50|-27|-65|-42|-2|41|97|141|160|149
0.779999,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,120|86|43|9|19|74|132|160|171|179|177|123|36|-20|10|91|145|171|203|210|181|136|92|59
0.812859,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,42|75|153|251|336|400|418|384|344|336|358|408|468
0.846954,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,519|546|550|538|497|417|330|261|202|186|228
0.880814,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,283|308|282|198|84|-10|-57|-74|-87|-97|-86|-56|-38|-60|-114|-178|-252|-323|-342|-299|-234|-189|-187|-227
0.913879,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-286|-341|-366|-374|-365|-330|-275|-227|-197|-183|-204|-261|-308|-318|-305|-264|-196|-124|-74|-46|-42|-81|-138|-166
0.947342,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,-152|-119|-73|-27|13
0.981895,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,52|60|26|-28|-77|-87|-45|-4|23|55|85|81|45|16|-3|-20|-18|20|74
1.01558,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,114|131|125|90|36|-17|-41|-22|26|82|122|156|156|119|80|49|23|24|52|92|150|203|213|173
1.04991,0,51,96,269228,325807,253544,14019,18865,78733,2655,808242,105|34|-11|-12|23|70|118|162|171|162|153|123|65|19|25|90
1.08319,0,57,81,209058,79939,10646,6153,4918,8418,489,117722,167|198|187
1.11701,0,57,81,209058,79939,10646,6153,4918,8418,489,117722,166|130|70|26|23|55|112|166|214|245|240|208|165|119|68|35|53|107|162|194|208|193|150|85|22|-1|23|73|120|149|160|146|116
1.15086,0,57,81,209058,79939,10646,6153,4918,8418,489,117722,83|43|13|33|81|128|166|188|181|154|116|70|39|37|51|76|119|156|181|166|103
1.1843,0,57,81,209058,79939,10646,6153,4918,8418,489,117722,32|-8
