Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw
0.0345497,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-1990|-1916|-1847|-1772|-1702|-1641|-1581|-1524
0.0678272,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,-1464|-1398|-1305|-1221|-1188|-1162|-1134|-1108
0.101851,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,-1076|-1028|-967|-899|-812|-476|67|-49|-666|-865|-813|-676|-293|-105|-329|-380|-38|649|1114|1079|599|12|-289|-286
0.135796,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,-94|179|337|369|481|809|922|764|1479|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047
0.169691,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,2047|2047
0.203928,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,2047|2047|2047|2047|2026|1958|1892|1829|1761|1393|980|1618|1579|1511|1456|1401|1352|1304|1258|1216|1172|1131|1092|1053
0.237455,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,1017|982|949|916|884|854|825|796|771|743|720|694|672|648|627|604|584|566|548|530|513|497|480|467
0.271589,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,456|436|421|405|393|381|371|358
0.305067,51,24,13,2790107,227195,323631,173539,280675,266545,239973,531213,347|338|327|320|312|300|289|279|273|264|258|250|245|242|168|-469|-2048|-2048|-2048|-2048|-155|887|844|818
0.339025,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,789|721|276|-2003|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048
0.373089,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-2048|-2048|-2048|-2048|-1995|-1922|-1850|-1781
0.406799,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-1715|-1651|-1589|-1528|-1469|-1415|-1362|-1308|-1258|-1210|-1163|-1118|-1078|-1036|-997|-955|-919|-884|-850|-814|-781|-748|-722|-694
0.440815,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-665|-641|-615|-593|-568|-545|-521|-500|-477|-458|-439|-421|-404|-387|-371|-355|-339|-324|-310|-297|-282|-270|-261|-249
0.474863,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-236|-227|-215|-205|-196|-185
0.50878,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-178|-168|-161|-151|-142|-135|-130|-121|-116|-108|-103|-98|-88|261|2047|2047|2047|2047
0.54344,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|1970|1815|1657|2047|2047|2047|2010|1899|1398|1670
0.577179,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,1782|1702|1316|540|138|-1453|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-834
0.610855,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-1750|-2048|-2048|1645|2047|2047|1970|-1987
0.644331,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-2048|-1974|1362|2047|1012|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2023|-1948|-1878|-1809|-1739|-1673|-1609|-1508|-284|-599|-1468
0.677687,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,640|2047|548|-1251|-1538|-1459|-1388|-1331|-1276|-1227|-1179|-1133|-1089|-1045|-1002|-966|-715|-531|-907|-857|-765|-600|-776|-739|-702
0.711058,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,
0.744207,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-673|-645|-618|-594|-569|-546|-523|-503|-482|-461|-442|-424|-406|-390|-373|-358|-342|-327|-313|-299|-285|-274|-262|-249|-237|-228|-216|-205|-197|-187|-179
0.777431,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-169|-162|-152|-146|-137|-131|-123|-117
0.811115,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-109|-104|-99|-91|-86|-81|-39|39|-81|-68|-28|-54|296|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047
0.845411,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,2047|2047|2047|2047|2047|994|-2048|-2048|-2048|-2048|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|2047|-2048|-2048|-2048|-2048
0.879536,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,2047|2047|2047|2047|2047
0.91353,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,2047|2047|2001|1930|1863|1798|1735|1682|504|1233|1586|1513|1456|1401|1352|1205|-2048|1157
0.947632,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,1349|1286|1234|1188|1153|-1880|-2048|-2048|-2048|-2048|-2048|1305|2047|2047|1972|1896|267|-2048|-2048|2047|2032|1948|1874|1803
0.981215,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,1738|1677|1619|1561|1507|1453|1403|1354|1307|1265|1224|1175|1138|1091|409|-1801|-2048|-2048|-1544|-1240|-2048
1.01518,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-2048|-2048|-2048
1.04928,51,24,13,178356,56887,32906,12136,38111,45585,32718,52178,-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-2048|-1977|-1905|-1833|-1765|-1699|-1636|-1574|-1514|-1458|-1401|-1349
