Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw
0.033905,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.0672302,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.100342,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.134796,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.169006,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.202911,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.235474,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.269592,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.302734,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.336548,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.370392,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.404053,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.43631,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.470734,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.504883,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
0.538452,0,13,100,3025,2800,11855,21895,6695,4243,738,25422,
